GENDER,LGB_3,CA_REGION,AGE_6,RACE_5,pv_ever,pv_12mo,sv_ever,sv_12mo,ipv_ever,ipv_year,data_year,INCOME_QUINTILE,EDUC5,EMPLOY_2,DISABILITY,sv_perp_ever,sv_perp_12mo,pv_perp_ever,pv_perp_12mo,WEIGHT,pastyearpv1,pastyearpv2,pastyearpv3,pastyearsv1,pastyearsv2,pastyearsv3,pastyearsv4,pastyearsv5,pastyearsv6,pastyearperpsv1,pastyearperpsv2,pastyearperpsv3,pastyearperpsv4,pastyearperpsv5,pastyearperpsv6,pastyearperppv1,pastyearperppv2,pastyearperppv3
1,2,5,4,2,0,0,0,0,0,0,2025,1,3,1,0,0,0,0,0,0.133371836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,5,6,1,0,0,1,0,0,0,2025,4,3,1,0,0,0,0,0,1.250691305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,5,3,3,0,0,0,0,0,0,2025,4,4,1,0,0,0,0,0,1.418236102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,1,5,3,1,0,1,0,1,0,2025,2,5,2,0,0,0,1,0,1.133318486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,5,6,1,0,0,1,0,1,0,2025,1,3,1,0,0,0,0,0,0.994882798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,3,2,1,1,0,1,1,1,0,2025,3,4,1,0,0,0,1,0,0.710230506,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,4,1,1,0,1,0,1,0,2025,2,3,1,0,0,0,0,0,1.418175305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,5,2,1,0,0,1,0,1,0,2025,4,4,1,0,0,0,0,0,0.853515896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,2,4,1,1,0,1,0,1,0,2025,2,3,1,0,1,1,0,0,1.260723089,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,2,2,5,1,1,1,0,0,1,0,2025,2,3,2,1,0,0,0,0,0.953751622,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,2,1,3,3,0,0,NA,0,NA,NA,2025,4,5,1,0,NA,0,NA,0,1.571472063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,5,6,2,1,0,1,0,0,0,2025,4,4,2,1,0,0,0,0,0.600256266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,2,6,1,1,0,1,0,1,0,2025,2,3,2,1,0,0,1,0,0.534397327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,5,6,1,0,0,0,0,0,0,2025,1,4,2,0,0,0,0,0,2.600314601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,5,5,1,0,0,1,0,0,0,2025,1,3,2,0,0,0,0,0,2.262063203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,6,1,0,0,1,0,1,0,2025,2,4,2,1,0,0,0,0,1.702941046,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
2,2,5,4,1,1,0,0,0,0,0,2025,4,3,1,0,0,0,0,0,0.968463832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,5,5,2,1,0,1,0,0,0,2025,1,3,2,1,0,0,1,0,0.151280375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,5,2,1,1,0,1,0,1,0,2025,1,3,1,0,0,0,0,0,1.304563774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,1,1,3,1,0,1,0,1,0,2025,4,1,1,0,1,0,1,0,9.84658256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,5,2,5,0,0,1,0,1,0,2025,5,5,1,0,0,0,0,0,0.955616709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,2,4,1,1,0,1,0,0,0,2025,3,5,1,0,0,0,1,0,0.414640572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,5,6,5,1,0,1,0,1,0,2025,4,5,2,0,0,0,0,0,0.836658837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,5,3,5,1,0,0,0,0,0,2025,4,4,1,0,0,0,0,0,0.555179241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,5,6,1,1,0,0,0,1,0,2025,4,3,2,0,0,0,0,0,0.461054988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,5,6,2,1,0,1,1,1,0,2025,1,4,2,0,0,0,1,0,0.624267684,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,2,5,6,1,1,0,0,0,1,0,2025,5,4,1,0,0,0,0,0,0.844339686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,1,2,5,1,0,1,1,1,0,2025,1,4,1,0,0,0,0,0,0.695858634,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,5,2,2,1,1,0,0,1,0,2025,2,2,1,0,0,0,0,0,0.347136736,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,4,5,1,0,0,0,0,0,0,2025,4,5,1,0,0,0,0,0,0.760051835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,5,3,1,1,0,0,0,0,0,2025,4,5,1,0,0,0,0,0,0.51980565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,5,4,2,0,0,1,0,1,0,2025,5,5,1,0,0,0,0,0,0.102960359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,5,2,2,1,1,1,0,1,0,2025,1,4,2,0,0,0,0,0,0.215535086,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,3,4,1,1,0,0,0,0,0,2025,4,4,1,0,0,0,1,0,0.976958782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,5,3,1,1,0,1,0,1,0,2025,2,4,1,0,0,0,0,0,3.200720773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,5,3,5,0,0,0,0,1,0,2025,4,5,1,0,0,0,0,0,0.626285327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,5,2,3,0,0,0,0,0,0,2025,5,5,2,0,0,0,0,0,0.508808391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,5,4,1,1,0,1,0,1,0,2025,1,2,1,0,0,0,1,0,2.024252782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,1,5,3,1,0,0,0,0,0,2025,5,4,1,0,0,0,0,0,1.473254207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,5,4,1,0,0,1,0,1,0,2025,5,5,1,0,0,0,0,0,0.450970351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,5,3,1,0,0,1,1,0,0,2025,5,5,1,0,0,0,0,0,0.480078827,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,3,5,1,1,0,1,0,1,0,2025,3,3,1,0,0,0,0,0,0.633241007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
